User,Slice Type,Latency (ms),Throughput (Mbps),Jitter (ms),Packet Loss (%)
1,eMBB,24.720932971329315,82.81483769411099,5.756854222184832,0.014833068870417021
2,URLLC,4.391537618044802,44.8220103281263,1.3618610686050847,0.05
3,mMTC,5.002210375006961,3.1888944934174366,14.301966898896296,0.05
4,eMBB,9.81113045076876,94.98721504549692,17.40443904041964,0.05
5,URLLC,3.9993146940273157,11.74557148783817,1.6665078241920912,0.05
6,mMTC,23.229103202008197,2.5058385552286313,19.095938326083957,0.05
7,eMBB,69.92937890820849,78.44889414987256,11.74630804446462,0.0038897572825267513
8,URLLC,25.792223615525174,13.728495561965413,5.269112232485313,0.05
9,mMTC,28.083169041999085,6.791125839688832,10.345910767064556,0.05
10,eMBB,69.31205292324194,53.650165404875374,12.145129976563116,0.05
