User,Slice Type,Latency with Penalty (ms),Jitter with Penalty (ms)
1,eMBB,44.72028845038813,13.50789732025977
2,URLLC,9.874671359190367,4.449115215645818
3,mMTC,1.7642531133140567,12.867476949259208
4,eMBB,45.170014990295975,19.388436299078723
5,URLLC,7.506629631812662,3.588554182824983
6,mMTC,29.769149687604777,24.475565187877127
7,eMBB,52.688797576425586,19.526041161420068
8,URLLC,24.38342253918872,5.077198908471831
9,mMTC,23.098553383848117,11.034074743955182
10,eMBB,32.372728865917075,15.13016933146617
