User,Slice Type,Latency (ms),Throughput (Mbps),Jitter (ms),Packet Loss (%)
1,eMBB,25.4701906033229,73.76649745251065,6.226437632393204,0.05
2,URLLC,6.415768687265108,13.389583910986067,3.4418667999440844,0.05
3,mMTC,29.87460369629278,9.950563081382338,22.276287175854243,0.002014030617105367
4,eMBB,25.970738250608814,76.281422016988,9.185742090107093,0.05
5,URLLC,27.076456324037554,33.96038453029031,8.132357064789126,0.05
6,mMTC,29.35441959198926,5.955326094425188,14.159084844065447,0.05
7,eMBB,28.70497490038329,91.38135728215573,13.771015557695545,0.04715287861274464
8,URLLC,28.228056225106545,47.70240056471178,7.080524840843092,0.01245547276405138
9,mMTC,25.640049884877172,6.321014404776507,23.90962928225542,0.05
10,eMBB,29.475796988246827,52.66271491262138,10.003627233193031,0.030221167679142392
